cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.26,USD,2025-07-31,CD,2025-08-11,4,Ed2c9da60abda1e3f0e99a43f6465863c137b671e1f5cd3f833d1fcb4f4eb27fe,2025-08-14,2025-08-11,AAPL
0.26,USD,2025-05-01,CD,2025-05-12,4,E508c0a63699951e57b51c4cf746a7f3b4101c39232372228d68585046c0b4a67,2025-05-15,2025-05-12,AAPL
0.25,USD,2025-01-30,CD,2025-02-10,4,Ecc0fc5473a63ec503030d7aff356e1c4f467301d08791ac000e10ef831b58a71,2025-02-13,2025-02-10,AAPL
0.25,USD,2024-10-31,CD,2024-11-08,4,E416a068758f85277196150c3eb73a3331d04698856c141e883ad95710dd0b189,2024-11-14,2024-11-11,AAPL
0.25,USD,2024-08-01,CD,2024-08-12,4,E47fd49ef418c51f7d2415b66030f735adaccf72d85f6b86eea12f96aa1d1c535,2024-08-15,2024-08-12,AAPL
0.25,USD,2024-05-02,CD,2024-05-10,4,E495b1d61b65ddc1eb3abd60eaacf33c1313433df83f5fd63f1971612ff684f79,2024-05-16,2024-05-13,AAPL
0.24,USD,2024-02-01,CD,2024-02-09,4,E8e4edd3b27095b7e918c127648feb5c4c256b8650b7f5c36d8ac260d8ec08086,2024-02-15,2024-02-12,AAPL
0.24,USD,2023-11-02,CD,2023-11-10,4,E4851913b4ca383b7bf0ed6a597e4fc12d8b88c92a152b9c918f4354c8572cd8d,2023-11-16,2023-11-13,AAPL
0.24,USD,2023-08-03,CD,2023-08-11,4,Ed2b8a80dc190d1c53e410f566b3e72b06f3c2b640730b476bebe4fcb29ccaa6c,2023-08-17,2023-08-14,AAPL
0.24,USD,2023-05-04,CD,2023-05-12,4,E40523b0f8cdfef5de834c3d3e27d3c40267dacba8d726d6938a0a322fdcfe880,2023-05-18,2023-05-15,AAPL
0.23,USD,2023-02-02,CD,2023-02-10,4,E9d8d2564c86b61f9713e2fd11fd4f429f8aebad02002d7dd405deddce672d645,2023-02-16,2023-02-13,AAPL
0.23,USD,2022-10-27,CD,2022-11-04,4,E010840de0c264bcfa41450d0370c1556954564f3af2238c2396fd9770160c645,2022-11-10,2022-11-07,AAPL
0.23,USD,2022-07-28,CD,2022-08-05,4,E68b4284b4e4874b1777b1434c602614d26e73394a5292aa4ca5596e3dd17c291,2022-08-11,2022-08-08,AAPL
0.23,USD,2022-04-28,CD,2022-05-06,4,E6a8bb996a7b4db68fb8b9cac903ea5d69e6d5fcf4a8a3ff45e94c327b268d770,2022-05-12,2022-05-09,AAPL
0.22,USD,2022-01-27,CD,2022-02-04,4,Eb672a10293aa431ae8d9d580589902263f16cdfdeaedf2a6dd36e9058e64e179,2022-02-10,2022-02-07,AAPL
0.22,USD,2021-10-28,CD,2021-11-05,4,E8e3c4f794613e9205e2f178a36c53fcc57cdabb55e1988c87b33f9e52e221444,2021-11-11,2021-11-08,AAPL
0.22,USD,,CD,2021-08-06,4,E6436c5475706773f03490acf0b63fdb90b2c72bfeed329a6eb4afc080acd80ae,2021-08-12,2021-08-09,AAPL
0.22,USD,2021-04-28,CD,2021-05-07,4,Edbd6674f2bacf55025a504fcabf9bc5cc25c174b9d69c1a6f1e07ee3ca37e843,2021-05-13,2021-05-10,AAPL
0.205,USD,2021-01-27,CD,2021-02-05,4,Eba2c89f79ce937dfe3d1b9b5e15ce4a21cd20d98c420a19d70c912354e039235,2021-02-11,2021-02-08,AAPL
0.205,USD,2020-10-29,CD,2020-11-06,4,E8631adda3d94779a90d14f53d77efe3eec85d0fd3e6f9a0698407b787fe761fb,2020-11-12,2020-11-09,AAPL
0.82,USD,2020-07-30,CD,2020-08-07,4,Ef6ae7637aca0b62b5a1353bfe22c6853d4c6171a00aba9f06b6cec69f420952a,2020-08-13,2020-08-10,AAPL
0.82,USD,2020-04-30,CD,2020-05-08,4,E2aed3bb248d63af4ad63c30e6f8e32eda88e8f7343a864179f0bdae55eb75952,2020-05-14,2020-05-11,AAPL
0.77,USD,2020-01-28,CD,2020-02-07,4,Ec79479f5f3d1acd80ca969bdfded623af70193e6ab9437abdc70456b6eae5d78,2020-02-13,2020-02-10,AAPL
0.77,USD,2019-10-30,CD,2019-11-07,4,Ec9bbeb41065aed0c385713e63acfa515aaa1abc526712c83f09a60d1805117c4,2019-11-14,2019-11-11,AAPL
