cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.5,USD,2024-12-04,CD,2025-06-24,2,Eb92776d9e24c6bb1396a3a85016054d1ddeb3263f0457937b5a2f2a801635428,2025-07-23,2025-06-24,DIS
0.5,USD,2024-12-04,CD,2024-12-16,2,Eccae51475093b5da8e58656af40fb634db5b4ae20c9ae51cd0050f4cb879990e,2025-01-16,2024-12-16,DIS
0.45,USD,2024-02-07,CD,2024-07-08,2,E7e35c7a79c07ab5a16b5130972e5ffef31214a5507d1b9be90fedc9a2901c429,2024-07-25,2024-07-08,DIS
0.3,USD,2023-11-30,SC,2023-12-08,0,Ec88daab490bb1c2c79dde575f4d938dc42147664cc44a7c8fa9929dbf1b327c8,2024-01-10,2023-12-11,DIS
0.88,USD,2019-12-04,CD,2019-12-13,2,Ec3deb18b08850af1e16e3318407f7a31191529f91e5d2195a4d7ee85307dcba0,2020-01-16,2019-12-16,DIS
0.88,USD,2019-06-26,CD,2019-07-05,2,E15232689119d7c770c751fe165a012e3a35bc471ab299d4538e5108e1ad62ca0,2019-07-25,2019-07-08,DIS
0.88,USD,2018-11-29,CD,2018-12-07,2,P6cae9e91e7b173518608066fe1e17046240c77e0cd2737536d14ad203696cab5,2019-01-10,2018-12-10,DIS
0.84,USD,2018-06-27,CD,2018-07-06,2,Pece7ba0c53cdf8b52b035e6df175898700b05effc9f72db65a36120d611e9d5e,2018-07-26,2018-07-09,DIS
0.84,USD,2017-11-29,CD,2017-12-08,2,Pa5a4458d086f962a8a41f1f15d66ac573f3d0ce2b865d4cb2e678c7f7cae4697,2018-01-11,2017-12-11,DIS
0.78,USD,2017-06-28,CD,2017-07-06,2,Pa219effc19b4fc0b5e9738516caf097852b4fe707636dbd510329856de65c8da,2017-07-27,2017-07-10,DIS
0.78,USD,2016-11-30,CD,2016-12-08,2,P1f1c4e792a2901953a74f2e12f48cb23539d260420b9c6c628ca5b36507372ed,2017-01-11,2016-12-12,DIS
0.71,USD,,CD,2016-07-07,2,P75b316bbc9a2bf0d5b8ff3c0e832118e961565b633ebad8ccc97523dc8dc5dab,2016-07-28,2016-07-11,DIS
0.71,USD,2015-12-02,CD,2015-12-10,2,Pee02c1113ae313fcf22bc204167a9f4c7f9fd184f36c1a50e802662e2939d8ad,2016-01-11,2015-12-14,DIS
0.66,USD,2015-06-24,CD,2015-07-01,2,P1d06f667f8c6ac3015bfafc3677a5c8896f9be4e05a6fa9b779d3b807977ca0c,2015-07-29,2015-07-06,DIS
1.15,USD,2014-12-03,CD,2014-12-11,1,P48b12624bed8cb0f9b004c3deaf8f1222daf5965596f6d7aac67e76129fe2c63,2014-01-08,2014-12-15,DIS
0.86,USD,2013-12-04,CD,2013-12-12,1,Pfa450c5ed8a1c6f94a43f9b73421d42ee5e06bcf51b56f86e9b7c7f4ea2a9cae,2014-01-16,2013-12-16,DIS
0.75,USD,2012-11-28,CD,2012-12-06,1,Pd55b762a6712088fd51d84aad1e329feb75e65776ce503c13d6b8259762c352e,2012-12-28,2012-12-10,DIS
0.6,USD,2011-12-16,CD,2011-12-14,4,P916f07f1dfc52c61de19588d4e4ace299cb5267b65ea46bc3af8dce86ea0f226,2012-01-18,2011-12-16,DIS
0.4,USD,2010-12-01,CD,2010-12-09,1,P8270e025f5d2ffed4f71615560c3e5f8fe6dfe182e0a8fcb5d23a1e837c39847,2011-01-18,2010-12-13,DIS
0.35,USD,2009-12-02,CD,2009-12-10,1,P5b4b07e40ca4fea297867d91530dd960a5addfd0e72c5600aeb93310663cfeaa,2010-01-19,2009-12-14,DIS
0.35,USD,,CD,2008-12-11,1,E527574902dc3db237ea4aea7b8284fda315702701784b7b05dc594adbef204c9,2009-01-20,2008-12-15,DIS
0.35,USD,,CD,2007-12-05,1,E9c57f5fe42fd512378e50ebca1e1eb3b3f80891def1a01c01cb53ed307f1bf49,2008-01-11,2007-12-07,DIS
0.31,USD,2006-11-28,CD,2006-12-13,1,Pd683cef970725efa150b4478a5f0a27b60391126fe219c1243aa9b5bc6821dd8,2007-01-12,2006-12-15,DIS
0.24,USD,2004-12-01,CD,2004-12-08,1,P96060008d2a8bcf40357be51b17e3dcbd5f82989d65d6b46d12676a2e51abfc7,2005-01-06,2004-12-10,DIS
