cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
1.5,USD,2025-09-16,CD,2025-10-06,4,E9675d0346e596a4b32e235bc1e211432a3a94d5c27ec7b0f97c156e1ed0c4054,2025-10-31,2025-10-06,JPM
1.4,USD,2025-05-19,CD,2025-07-03,4,E1179291777f203ea2b58e21fa64085ea998d143e610d4954d25c261b295ffcdb,2025-07-31,2025-07-03,JPM
1.4,USD,2025-03-18,CD,2025-04-04,4,E769a93f559046db11573ef30b9f2cac88ed545e7f025ce7b939e18ece300b87e,2025-04-30,2025-04-04,JPM
1.25,USD,2024-12-09,CD,2025-01-06,4,E4560794d9decae4292b4bf3b9a1a5f20fd446ccaa732095d9a8e81972538fe20,2025-01-31,2025-01-06,JPM
1.25,USD,2024-09-17,CD,2024-10-04,4,Ebf2e7249b5e3252c4bdad65a06e9ad5593cf693221e25d461755fedc8ecd8bce,2024-10-31,2024-10-04,JPM
1.15,USD,2024-05-20,CD,2024-07-05,4,E77686a60324200db17f2911c958ff8e14c6e7171a3be111e408fc2532167dcc4,2024-07-31,2024-07-05,JPM
1.15,USD,2024-03-19,CD,2024-04-04,4,E607539da512a5dbb07747897507b2b720350ccca9f3fb10786a64c2ec173f26f,2024-04-30,2024-04-05,JPM
1.05,USD,2023-12-12,CD,2024-01-04,4,E7e56020182ee0ffe957f67c3ebec28ac8c632e96e67284744bd31f0e561e300e,2024-01-31,2024-01-05,JPM
1.05,USD,2023-09-19,CD,2023-10-05,4,E710ef300943984ae8dd7801eeb79ffad9fbaa9a655cc1c4fbb076b467f5cbffa,2023-10-31,2023-10-06,JPM
1.0,USD,2023-05-15,CD,2023-07-05,4,E8a072108b17315a7a37ac6b8f1f21dc416482ead64edaa64f413601c6a93b1c3,2023-07-31,2023-07-06,JPM
1.0,USD,2023-03-21,CD,2023-04-05,4,Ee360a9bdccea6c9aaff8b980f73daa9186dc0c343a94ea769ce146797af06cd5,2023-04-30,2023-04-06,JPM
1.0,USD,2022-12-13,CD,2023-01-05,4,E46cc168a46ef3b89d75cc07d57ffb3b759b02aa597d0907088ab03462e7f3701,2023-01-31,2023-01-06,JPM
1.0,USD,2022-09-20,CD,2022-10-05,4,E494b46ebf34629eb5a663cf4505e2a243dde8c9768be50893be8cb6946992d5d,2022-10-31,2022-10-06,JPM
1.0,USD,,CD,2022-07-05,4,E233793be3e2fab39d1250041aa1baa2214cbea5cae8f42c95e0df4a67cc47407,2022-07-31,2022-07-06,JPM
1.0,USD,2022-03-15,CD,2022-04-05,4,Edadbcc964ed77facbda6b863d9049cdccd60c1af6af6b7f1c983b3ed54d1c5ca,2022-04-30,2022-04-06,JPM
1.0,USD,2021-12-14,CD,2022-01-05,4,E821fc568036aa22507240d37fe2b5ae81ef550299c1c3ba35b699ec33c961f09,2022-01-31,2022-01-06,JPM
1.0,USD,2021-09-21,CD,2021-10-05,4,E748c6bec0fff20476b816466f47630dbe6696917ec167fc25a1c2f88012042b4,2021-10-31,2021-10-06,JPM
0.9,USD,2021-05-17,CD,2021-07-02,4,E8445ec9073b728ac4114500026a12f005b084a4b6d566c184ad7e54d93c1a931,2021-07-31,2021-07-06,JPM
0.9,USD,2021-03-16,CD,2021-04-05,4,E612b4e05d1153a5439737ab77e1e2763d484c94aaf942b3aba87ea0680d94c24,2021-04-30,2021-04-06,JPM
0.9,USD,2020-12-08,CD,2021-01-05,4,E0a5b2ddadebf9c52ac9e8c125261cd27c87dfb151ee2c7bff564fa2dec688a47,2021-01-31,2021-01-06,JPM
0.9,USD,2020-09-15,CD,2020-10-05,4,Eb390a893289c07eb13df009ed5de75e787b449d980be972809e406f906e14882,2020-10-31,2020-10-06,JPM
0.9,USD,2020-05-18,CD,2020-07-02,4,E09e7b91d4ccd868b900b325238ba05dd2f77f9c4983d88128e6e4f8ec320c2d1,2020-07-31,2020-07-06,JPM
0.9,USD,2020-03-17,CD,2020-04-03,4,E957a56856243fb4973dcccebd729f367417075846ceea8f8fd43a24dd14b26d9,2020-04-30,2020-04-06,JPM
0.9,USD,2019-12-10,CD,2020-01-03,4,Eaf039a86280bc820ef528e159bddff8c16b02812249bb1f3a4a111768b06b0c5,2020-01-31,2020-01-06,JPM
0.9,USD,2019-06-27,CD,2019-10-03,4,Ee7ea09be2be8b008e4cf2ff501282205d57beb57c5df15a6999c942a8a739a97,2019-10-31,2019-10-04,JPM
0.8,USD,2019-05-21,CD,2019-07-03,4,Ed6eaa9ef2d47beb5ab2cee43f59b4c961501897b0ec8ca95c9ba5364cf9c9ea0,2019-07-31,2019-07-05,JPM
0.8,USD,2019-03-19,CD,2019-04-04,4,E264c973822346f35df0885778fa116347050e6e33c8de9dbbf1cfbcfec22718f,2019-04-30,2019-04-05,JPM
0.8,USD,2018-12-11,CD,2019-01-03,4,E4b924a58cf1269e29607159f97601985733bf15fef0b2af8c7e4dd2539c58f25,2019-01-31,2019-01-04,JPM
0.8,USD,2018-09-18,CD,2018-10-04,4,Ee0d07e211c4bc8f9e01400cad16e6278417e2a88ca0b3add7a1b110677c29bd1,2018-10-31,2018-10-05,JPM
0.56,USD,2018-05-15,CD,2018-07-05,4,E4e3dc3c7aa77b0b94d4e33104cc3f88c219349dd8e775726997431fd4564d11d,2018-07-31,2018-07-06,JPM
0.56,USD,2018-03-20,CD,2018-04-05,4,Ed690bf2b05b85f9a49871875575506af3d982efa054791e59122c23a62b3be9f,2018-04-30,2018-04-06,JPM
0.56,USD,2017-12-12,CD,2018-01-04,4,E6340c7a8fb8a316c70e8979c279f959e225b0e63acb9d4eb31569feec398e6e6,2018-01-31,2018-01-05,JPM
0.56,USD,2017-09-19,CD,2017-10-05,4,Eafe3334abb1940e848ca472866cc0e1d46589fb1bd383ce14efcc875efc68744,2017-10-31,2017-10-06,JPM
0.5,USD,2017-05-16,CD,2017-07-03,4,Ec3ebf5cfc2fcfbb52152ee8a01490e5b23524d8c7e50e4893efd8bb21dcb5c35,2017-07-31,2017-07-06,JPM
0.5,USD,2017-03-21,CD,2017-04-04,4,E45ecf25ac948bf0698677d94f8b71727e73b9923b23720389f6bd4eb7b9d219c,2017-04-30,2017-04-06,JPM
0.48,USD,2016-12-13,CD,2017-01-04,4,E838079bf5bf3f00ddbb5ecc6dfefdf336ba9ae9a2bebe2fbcaedf408033982fd,2017-01-31,2017-01-06,JPM
0.48,USD,2016-09-20,CD,2016-10-04,4,Eadf6bec3b684b9502d502615f5afc8175e860029c98544fa8e58bbad317eca12,2016-10-31,2016-10-06,JPM
0.48,USD,2016-05-17,CD,2016-07-01,4,E09106504069862a80f2e4596b64be533b5f11ddc7fa21fe962175851c3849d24,2016-07-31,2016-07-06,JPM
0.44,USD,2016-03-15,CD,2016-04-04,4,Eee98ff0263a6994b2406b827667531a417378d3f4c4cce778ad9c65414b51a07,2016-04-30,2016-04-06,JPM
0.44,USD,2015-12-08,CD,2016-01-04,4,Ec761cdf7a37a052adc746d1561c7fb50f380d323b8b6b239f759b2757ce6438e,2016-01-31,2016-01-06,JPM
0.44,USD,2015-09-15,CD,2015-10-02,4,Ebc6759b9a6b1d27a58cea8d64faea1ca551fc18fd9ad0f235d2152931365fa0c,2015-10-31,2015-10-06,JPM
0.44,USD,2015-05-19,CD,2015-07-01,4,E40423c1d589fb384f5f172a8582732e81d249e4ac3bf1a3043460728d791f2b6,2015-07-31,2015-07-06,JPM
0.4,USD,2015-03-17,CD,2015-04-01,4,E9c6828bcdeb69480a7e183108066fd72aad80e4e9aecfa9265b2af08284f5fe4,2015-04-30,2015-04-06,JPM
0.4,USD,2014-12-09,CD,2015-01-02,4,E648c52c17f6df8668719000e619d81f80489044fbf0d532d3d6822c8d7a56ad5,2015-01-31,2015-01-06,JPM
0.4,USD,2014-09-16,CD,2014-10-02,4,E37acb7d7eab2587a53570fd5d98aa499cae2af1fe6a67a44c774edb85e5973c4,2014-10-31,2014-10-06,JPM
0.4,USD,2014-05-20,CD,2014-07-01,4,E6b5187e902080a4d458706b34c3a9598923de102793be111f3b0de3b2674cc16,2014-07-31,2014-07-03,JPM
0.38,USD,2014-03-18,CD,2014-04-02,4,E7a3b1c861d70f3e93481fbe8dcfc1d66bcbcd57cb8f90d983db95d9ec638b0e3,2014-04-30,2014-04-04,JPM
0.38,USD,2013-12-10,CD,2014-01-02,4,Ee1694ae1d1896b400589da9fddffc66a81532c373fb33a67f5546cd1a223d1bf,2014-01-31,2014-01-06,JPM
0.38,USD,2013-09-17,CD,2013-10-02,4,Ed3966f493878a9d8c58f48c725c5f531ebed7d951aab95664af50ed8fdac5d84,2013-10-31,2013-10-04,JPM
0.38,USD,2013-05-21,CD,2013-07-02,4,Ef49925059e63d62b90839d4fe0acfc455a1470d34ce3b3bfff8afd8971895ab2,2013-07-31,2013-07-05,JPM
0.3,USD,2013-03-19,CD,2013-04-03,4,E3d83d6b9d76a126a296e43e33e1a52686be102cefeea190ffa230352f067b91d,2013-04-30,2013-04-05,JPM
0.3,USD,2012-12-11,CD,2013-01-02,4,Ec084b1eaf289491dc7a85cb4b273c509f1b56d8d14eddfe044e615287a3af54a,2013-01-31,2013-01-04,JPM
0.3,USD,,CD,2012-10-03,4,Edddaac357272080eca8a1155ec649ad7108f97864c9719f425b3b760c9da6ad6,2012-10-31,2012-10-05,JPM
0.3,USD,,CD,2012-07-03,4,E4b98cc69fd7c440b6adc1f94a876ed35667dc469d88e8adc5416651a9ee51b47,2012-07-31,2012-07-06,JPM
0.3,USD,,CD,2012-04-03,4,E7249fe62695e729ee0ee35dcf084b8105a116deca4255ab742fbf1d161cf7865,2012-04-30,2012-04-05,JPM
0.25,USD,,CD,2012-01-04,4,E25f081a3cdd24c270091f354ae22049a8240f950035ce6cc23fa4050bad6f064,2012-01-31,2012-01-06,JPM
0.25,USD,,CD,2011-10-04,4,E054c63a147471e06cc4ac03ce66403f534b87885f722291fa75c53e1bb7b4d1d,2011-10-31,2011-10-06,JPM
0.25,USD,,CD,2011-07-01,4,E8d0cc8d2a3f424d02c9420fa24915940e6b325696f2e1e36a83f1596526d2be3,2011-07-31,2011-07-06,JPM
0.25,USD,,CD,2011-04-04,4,Ee18fc08397fe48c4eda8474920dd7e38fd88ae737185fe146bc9d326166b94b7,2011-04-30,2011-04-06,JPM
0.05,USD,,CD,2011-01-04,4,E8528f1f31cd4a92316ad080cae0f3d55e6188f74aa2cfeb23b9c9dddcd8cb42d,2011-01-31,2011-01-06,JPM
