cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.51,USD,2025-10-16,CD,2025-12-01,4,E93b71d82d49a7dacdb99e4c9d860f0f5cfa4b647e16e64fb5e24b308170b042d,2025-12-15,2025-12-01,KO
0.51,USD,2025-07-17,CD,2025-09-15,4,Eae6f276dd816764d26e790800a028f281cdff665eb4218adb906ed3591361dde,2025-10-01,2025-09-15,KO
0.51,USD,2025-05-01,CD,2025-06-13,4,E07ec262301f5c44e4036dd492e9556ba773b5a713279969838f712d2750465a7,2025-07-01,2025-06-13,KO
0.51,USD,2025-02-20,CD,2025-03-14,4,Ea073a2e717224d10e8c0f01f0a902c3b898756311922bce5384d8e775a27402f,2025-04-01,2025-03-14,KO
0.485,USD,2024-10-17,CD,2024-11-29,4,E5a98d2dec6b02dc001896afe600b28287db47d1768c94b962ae2633b046fa401,2024-12-16,2024-11-29,KO
0.485,USD,2024-07-29,CD,2024-09-13,4,E5bb4d838ae9788165dfaf158dcb20ab19075ae83c735dab9d611e962e667cd1a,2024-10-01,2024-09-13,KO
0.485,USD,2024-05-02,CD,2024-06-14,4,Eaf56e59381d6e52f4403fb93f0d2260bc6e26abc1cb1f58b9c6b4c9296e08648,2024-07-01,2024-06-14,KO
0.485,USD,2024-02-15,CD,2024-03-14,4,E91920479c8a18110da489481a6be8d4247d8b8794075ebd6c514a8e90f92d1bb,2024-04-01,2024-03-15,KO
0.46,USD,2023-10-19,CD,2023-11-30,4,Ea54d77bdf1c0e747bb2289d46239706b67c86337dbc78fa7597c995c2121422e,2023-12-15,2023-12-01,KO
0.46,USD,2023-07-19,CD,2023-09-14,4,E7493523483d4f1fd565a4afc17501fd29c8db6c5129ba1fd6931a2b98e4f4f0a,2023-10-02,2023-09-15,KO
0.46,USD,2023-04-26,CD,2023-06-15,4,E1bd22e100ccec4f252f42da0a324e78b2f041bae12fc45c6c748d223f225c406,2023-07-03,2023-06-16,KO
0.46,USD,2023-02-16,CD,2023-03-16,4,E9eaccf904f8561a4bb246810af8068fae29049b4516362b566262ab4e68db4b6,2023-04-03,2023-03-17,KO
0.44,USD,2022-10-20,CD,2022-11-30,4,Ecfeae71e7497b1c3f4888d09c04989f33aa25be12bed0a55bdf0e05521968ae1,2022-12-15,2022-12-01,KO
0.44,USD,2022-07-21,CD,2022-09-15,4,Ed16d983a532fd5c918335286aae846048e73c3504e69ee31deac7777777dcdf2,2022-10-03,2022-09-16,KO
0.44,USD,2022-04-27,CD,2022-06-14,4,E9bc35857c3532244bbd0b1ce4f10e3d6f95b5548debb40df1b2acd733dedf3f3,2022-07-01,2022-06-15,KO
0.44,USD,2022-02-17,CD,2022-03-14,4,E6ea8a45e90d7d8bd56498a1f1490f571ecd67b555dd84e38576af2a178dcf622,2022-04-01,2022-03-15,KO
0.42,USD,2021-10-21,CD,2021-11-30,4,E4182a0da69f5e2b58af3adb7e4b9d394ed5b7a812a530ef7b27a4cb740304593,2021-12-15,2021-12-01,KO
0.42,USD,2021-07-14,CD,2021-09-14,4,E89d84a8f98b6ae99dd97c996c4708c260cc95e8dc42187573a88702078db11b2,2021-10-01,2021-09-15,KO
0.42,USD,2021-04-21,CD,2021-06-14,4,Ebbcb5c7cc2e045f416331b74a8902403e848342c20cb6eec1c95f5e5bdff17f1,2021-07-01,2021-06-15,KO
0.42,USD,2021-02-18,CD,2021-03-12,4,E4391cfc847c3b257881623240fd5dddb71c9f3001c82fee65e2c2a847a84dac0,2021-04-01,2021-03-15,KO
0.41,USD,2020-10-15,CD,2020-11-30,4,E0b0de57b984359c1ae1b4d074254539323f971e4b63f4a4cd7a6401639140869,2020-12-15,2020-12-01,KO
0.41,USD,2020-07-16,CD,2020-09-14,4,E8603408ffb95f319dfcd5a23d018aef6ee30f76b8c76e8747c0c5c1f00d6a9a6,2020-10-01,2020-09-15,KO
0.41,USD,2020-04-22,CD,2020-06-12,4,E8f1354272e1906304a67ff16b6559727050c4ba7e14c71461a65143b42f671db,2020-07-01,2020-06-15,KO
0.41,USD,2020-02-20,CD,2020-03-13,4,Eb26a2a0de47d75793fe14d24cc8f3f19b709a55b50ba881e1bbd60b7a377dbd0,2020-04-01,2020-03-16,KO
0.4,USD,2019-10-17,CD,2019-11-29,4,E1d8ca82e6c88b71b641869130dd033195031bf9cc7ae9e94ee1b5a95100dbd01,2019-12-16,2019-12-02,KO
0.4,USD,2019-07-18,CD,2019-09-13,4,E3ba7f1fe71c02dbb1b699181f8aa02d82f7d8717da8c66fea28d32da0cf45d41,2019-10-01,2019-09-16,KO
0.4,USD,2019-04-25,CD,2019-06-13,4,E07c586c32b787d1ba9de1386b3235bd0499117a08c2d6b3568c921cf4ca29905,2019-07-01,2019-06-14,KO
0.4,USD,2019-02-21,CD,2019-03-14,4,Ea7ae5b229a861b4b3c91d7d5b0817e21538152fe433563ada6c1fad9c90506da,2019-04-01,2019-03-15,KO
0.39,USD,2018-10-18,CD,2018-11-29,4,E72491d3bc33180073ffc12476f935d444729f3852ac55d9780958721a283581c,2018-12-14,2018-11-30,KO
0.39,USD,2018-07-19,CD,2018-09-13,4,Ea765b89c48188a5a372ae9d1784addd329ab087d927376fc69e1884f93cda760,2018-10-01,2018-09-14,KO
0.39,USD,2018-04-26,CD,2018-06-14,4,E3a14aaecdfd94ee0556c0cad2eff1ee26a619b283bc4d71716ccc04472be48c7,2018-07-02,2018-06-15,KO
0.39,USD,2018-02-15,CD,2018-03-14,4,E1d63632659bf8aa7ba5c3458a19d56f15b072cff0cf077474c8c42a9c76c25a1,2018-04-02,2018-03-15,KO
0.37,USD,2017-10-19,CD,2017-11-30,4,E28191e10831d165fa203db237cab6c84893a145b8cbb2000889453fe751f1074,2017-12-15,2017-12-01,KO
0.37,USD,2017-07-20,CD,2017-09-14,4,E8e7b51c1d9e406336b47b4cbbd0c09ca0176859f31e16b151adb740dd64391fd,2017-10-02,2017-09-15,KO
0.37,USD,2017-04-27,CD,2017-06-13,4,E4bd2c2e5d7d8d1ab1f19601eaf219fa9a8cc7bcc0549f3f3886ff05df5930e4f,2017-07-03,2017-06-15,KO
0.37,USD,2017-02-16,CD,2017-03-13,4,Eb6882aa1dfb081eedf4340c500b960d7b3c39059c465f4dc7ea5b9555c9dfb6a,2017-04-03,2017-03-15,KO
0.35,USD,2016-10-20,CD,2016-11-29,4,Ea0bec338e76a9cffabc853469917577b4f05feea9b920bda4b8674ef8b8a596b,2016-12-15,2016-12-01,KO
0.35,USD,2016-07-21,CD,2016-09-13,4,Ec303df3fa48c3eba9eb003c60249cdcfbd3f3bd3204b8bee56e4988631de327d,2016-10-03,2016-09-15,KO
0.35,USD,2016-04-28,CD,2016-06-13,4,E86a218c0a880382b0db4309775df921988bdbb4f9f07a8270c6002b11d1d93ec,2016-07-01,2016-06-15,KO
0.35,USD,2016-02-18,CD,2016-03-11,4,E3c2c1ffc4888b87f43381280a733f2a5f3ed2a6178eee0a4ec2c9b45678490f5,2016-04-01,2016-03-15,KO
0.33,USD,2015-10-15,CD,2015-11-27,4,E3095a980a855958d5613204da4573c27fca1d57bfc0b4b5d4a18e77fbdf7bef8,2015-12-15,2015-12-01,KO
0.33,USD,2015-07-16,CD,2015-09-11,4,Eb0e712619c2258dc1b77bc6002105c539435a4c06a45d26fd4f3895c3f9a1a87,2015-10-01,2015-09-15,KO
0.33,USD,2015-04-30,CD,2015-06-11,4,E90e97674abacf4b87d064ab237578de10eaef0b90754fcf66b03eeb8fe6ace6c,2015-07-01,2015-06-15,KO
0.33,USD,2015-02-19,CD,2015-03-12,4,E018dd5f5249cb0359ebd374a80b10a40ffb00394853e4f596597134cff79f852,2015-04-01,2015-03-16,KO
0.305,USD,2014-10-16,CD,2014-11-26,4,E42443276ced5540af4e824dcb592ce06b0ebba0abb921f44fc92c43e497e6077,2014-12-15,2014-12-01,KO
0.305,USD,2014-07-15,CD,2014-09-11,4,Ed780c89d818c8deb2cf0cdd4ef17cc3490f11f011114f898647b450dc7df850a,2014-10-01,2014-09-15,KO
0.305,USD,2014-04-24,CD,2014-06-12,4,E7a8b356d9b805e3c68deaaa7a99e7de2a290a59de46d5d2e6a53f54c96d37b41,2014-07-01,2014-06-16,KO
0.305,USD,2014-02-20,CD,2014-03-12,4,Eefa7f0432a930419635be371b51aa014a3466daf5875c5e4ab873e9431bbbd42,2014-04-01,2014-03-14,KO
0.28,USD,2013-10-17,CD,2013-11-27,4,Ebb19d7effddb8e05dbf0008d68a7829b20a32339ab612e4e62172696832abc71,2013-12-16,2013-12-02,KO
0.28,USD,2013-07-18,CD,2013-09-12,4,Eeadc54be2ade38edf94ca7a185ac6ae7eca5b1b9b1971897986da9a7453a1091,2013-10-01,2013-09-16,KO
0.28,USD,2013-04-25,CD,2013-06-12,4,E95a8b07b6fc29bda24a4a7fd711bd79990ccf249fac5705957d39530a7105953,2013-07-01,2013-06-14,KO
0.28,USD,2013-02-21,CD,2013-03-13,4,E447ed31ce95501b56a57f987a17256c3de32c1163d7b5d3cbefab23727fabe8b,2013-04-01,2013-03-15,KO
0.255,USD,2012-10-18,CD,2012-11-28,4,E94b472414012ed744b29faa87c34b8c7629f249e53d44d5ab638376e88e49300,2012-12-17,2012-11-30,KO
0.255,USD,,CD,2012-09-12,4,E812e164811aa294b473e4d48d842a17238c6397eba5be221e2421d95766f254f,2012-10-01,2012-09-14,KO
0.51,USD,,CD,2012-06-13,4,E3cac80e39d7ff9e741e908a0b4563659fd035237f4d155e221d9d6f64567bbe8,2012-07-01,2012-06-15,KO
0.51,USD,,CD,2012-03-13,4,E97dfacb1f7ff50948f29a5a67683b90e187e0d15691e8d5e227fe63548606248,2012-04-01,2012-03-15,KO
0.47,USD,,CD,2011-11-29,4,Eb6e5e10c115173b27eae41cacf8284c83af3a15a19ece4f1768b6d313a26130d,2011-12-15,2011-12-01,KO
0.47,USD,,CD,2011-09-13,4,E3d6c4a8f6349ba482eab0be91f3bfd08c212f6c5ce228b2c776640d23fe76734,2011-10-01,2011-09-15,KO
0.47,USD,,CD,2011-06-13,4,E0a20eb6b4fdf41923be9a62974d4d73da39ffc1c39c48e42a96c0f6c44b15197,2011-07-01,2011-06-15,KO
0.47,USD,,CD,2011-03-11,4,E7621a83a38acb4a98e16366734d119594fade8641066291367ba4c9efb0442a7,2011-04-01,2011-03-15,KO
0.44,USD,,CD,2010-11-29,4,Ec0940862563c62ebcd85cc7bba64fee50f2c07944d4cfeb4fefeabd1d49ab12e,2010-12-15,2010-12-01,KO
0.44,USD,,CD,2010-09-13,4,E90e026738c048adb99504b08c70daa651ccd174e003bd7f8f329a8cac1619323,2010-10-01,2010-09-15,KO
0.44,USD,,CD,2010-06-11,4,Efcd90240e0919edac85c52edb6a88f52a86a48c025b0f744e01478af03f4a96f,2010-07-01,2010-06-15,KO
0.44,USD,,CD,2010-03-11,4,E9ba4032ecf6891537f8015be218a3cabf01fe488ca4cccf79999f6379f490400,2010-04-01,2010-03-15,KO
0.41,USD,,CD,2009-11-27,4,E8cf944869a4d067e07e9f414d0a3cca3e9b762da2eb543cdeab3b91baa93155f,2009-12-15,2009-12-01,KO
0.41,USD,,CD,2009-09-11,4,E8d702c693c69eb671c06b76984c0fde3dba599b608f8f94571d62affa2990622,2009-10-01,2009-09-15,KO
0.41,USD,,CD,2009-06-11,4,Eaf74f3d157c9964ee5f7dc6e7c3f0b6d7b856e98c9c46fb6bc58adbc766d2510,2009-07-01,2009-06-15,KO
0.41,USD,,CD,2009-03-11,4,Eca5e94458da255c405a221e1e2a5333a54b1c6703c4d020a568917186876727b,2009-04-01,2009-03-15,KO
0.38,USD,,CD,2008-11-26,4,E9c55b0178899f1287d512e2d1807822cdabff786f9a482694a3f05bb1f8e88c7,2008-12-15,2008-12-01,KO
0.38,USD,,CD,2008-09-11,4,E5b1a9ba8a98c4f0769c2c18279e8a323d586ca948963c7869c82b9ebbacbcf4c,2008-10-01,2008-09-15,KO
0.38,USD,,CD,2008-06-11,4,Ef9d61d438fb219a1500d48ce5cc0d9d2d0b386eabfdb34a27bbfe203d9bcf876,2008-07-01,2008-06-15,KO
0.38,USD,,CD,2008-03-12,4,Ec1ced8eab95921957fc762e404387e35340eb7d141d977f9663257d1716691ba,2008-04-01,2008-03-15,KO
0.34,USD,,CD,2007-11-28,4,E484c6026f0e94bb5c09315551600867f10ef68762febfb3a1b2ae9f89f8dab4a,2007-12-15,2007-12-01,KO
0.34,USD,,CD,2007-09-12,4,E9f98aaa73640a09da42221de8236e351716040412411e327c355e23277ccf8be,2007-10-01,2007-09-15,KO
0.34,USD,,CD,2007-06-13,4,Eaa3748941effd7287a80f93b9c7c70443fb48976fa7c97fd3eb1f673d10c1694,2007-07-01,2007-06-15,KO
0.34,USD,,CD,2007-03-13,4,Ec3f4a618d5a6f5abb065c7075575298bc35112958e516c806b73300caea5c084,2007-04-01,2007-03-15,KO
0.31,USD,,CD,2006-11-29,4,Ec38361e756dcdcf397ad87ab9ad39afeec386e935934273bbd3ddd11a7cb32a5,2006-12-15,2006-12-01,KO
0.31,USD,,CD,2006-09-13,4,Ef09bf7585093c54193b452ab039a56f06b56f1a6c2d0d9f697ecdade975f4876,2006-10-01,2006-09-15,KO
0.31,USD,,CD,2006-06-13,4,Eca696fff0f3eb67215d26a5e88d30d60855bff7f4342a49246b0a39298bd9ffe,2006-07-01,2006-06-15,KO
0.31,USD,,CD,2006-03-13,4,Ed86d1586e028bcdbf8830c7288afe009024400dd42f05f3083b72fff322affa3,2006-04-01,2006-03-15,KO
0.28,USD,,CD,2005-11-29,4,Edd903a68be20e33ffd0d5775dea1f38ad55f874cb87bfb324f6d45264e8381f8,2005-12-15,2005-12-01,KO
0.28,USD,,CD,2005-09-13,4,E71a038bb8fa0b961356b2edae983ec07c6593041ca2a6b8739a77d89df1b0019,2005-10-01,2005-09-15,KO
0.28,USD,,CD,2005-06-13,4,E32acf84f5f1d4dfe1cbbf3997ef57519ae2e2dd4ad3d8ccbdf82472a3da70475,2005-07-01,2005-06-15,KO
0.28,USD,,CD,2005-03-11,4,E8b2fd47532b59a73365793e8a191dc4ac7f56820b65af04b1a7bfa3294b2e63e,2005-04-01,2005-03-15,KO
0.25,USD,,CD,2004-11-29,4,E8a21ec5bce59879dc758a6ac4f8fdbda17c635c48c241646de21d196deddd927,2004-12-15,2004-12-01,KO
0.25,USD,,CD,2004-09-13,4,Ee3fd6f780be664df327174576aae3692dd8d146c80bb789dcfeaf7304984ab13,2004-10-01,2004-09-15,KO
0.25,USD,,CD,2004-06-14,4,Ea47f3988943b7c580d23f13b1dfcbb53987d53b50808692a8b673844725fd420,2004-07-01,2004-06-15,KO
0.25,USD,,CD,2004-03-11,4,Ec4664fc338be4dd77b48df714e48e5fd3b841550ef0aaa1faadb40fed2be81dd,2004-04-01,2004-03-15,KO
0.22,USD,,CD,2003-11-26,4,E42743d6f6ba5da1583d0a64726deed06cc46712bc15447baa578c44e982a10ce,2003-12-15,2003-12-01,KO
0.22,USD,,CD,2003-09-12,4,Ed9abecb6a651e80a0de4c0a835af00bf5f58f1e31cb6679e57d8e6abfbb1f58f,2003-10-01,2003-09-15,KO
0.22,USD,,CD,2003-06-11,4,Ecb822c6a5f86620365afa9a8d45edd3c6f3e8f7318a597d40a38c8b2daa71a21,2003-07-01,2003-06-15,KO
