cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.76,USD,2025-09-16,CD,2025-10-09,4,Ed09093daa196b52a9d136e480c33bfd0fda79201f97959da01b75806e8b07a01,2025-11-07,2025-10-09,MA
0.76,USD,2025-06-24,CD,2025-07-09,4,E078429c6826ddba2109ae5e205258df3219478f78d2f8697a27f4d0686d50a68,2025-08-08,2025-07-09,MA
0.76,USD,2025-02-10,CD,2025-04-09,4,E3cb73b5cb2a6d04ad6d66ebe9dd66a782c3e17b6b650f0db1d8b437cfbe17ba7,2025-05-09,2025-04-09,MA
0.76,USD,2024-12-17,CD,2025-01-10,4,Ec6372be9137e6a822fd370e8f0738fc31cfb9db56ee95abb2ee9b45f3022db0b,2025-02-07,2025-01-10,MA
0.66,USD,2024-09-16,CD,2024-10-09,4,E2d533aca05e8b3373cdec5a42e90a0ba8d4a3c3fbeb0e2575918adaba0241687,2024-11-08,2024-10-09,MA
0.66,USD,2024-06-18,CD,2024-07-09,4,E3f5f01db0d841631b6c78a5cbae5bfc9749f4581b8ebad01d6387cf4c0c3a874,2024-08-09,2024-07-09,MA
0.66,USD,2024-02-06,CD,2024-04-08,4,E21acfcc4c30f4e57d2674bfcf09cda96f9fa494912684a1cf8da487c7529de95,2024-05-09,2024-04-09,MA
0.66,USD,2023-12-05,CD,2024-01-08,4,Edd1a40acf6fb31c03f430541b107d29f54f28da3b893560a8c1fcdfe5ab4330d,2024-02-09,2024-01-09,MA
0.57,USD,2023-09-19,CD,2023-10-05,4,E7098f309212cb685577bd4be47beffdb386f4e54f3500d35fb0cb0e8501a4ed8,2023-11-09,2023-10-09,MA
0.57,USD,2023-06-26,CD,2023-07-06,4,Eabbd12331d5f24f1745fb35b38aad3b0e72866e9a76f5244ca817d6698fa08dc,2023-08-09,2023-07-07,MA
0.57,USD,2023-02-14,CD,2023-04-05,4,Ebf0785adad660d6068f8736a54ac8416133055ceee98d5a99b0bdede74f782d3,2023-05-09,2023-04-07,MA
