cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.91,USD,2025-09-15,CD,2025-11-20,4,Ee77348f0a7bef6d64dcf92fc50a5bf65e2caa4ba5d0a8f571286a24302ce1fbe,2025-12-11,2025-11-20,MSFT
0.83,USD,2025-06-10,CD,2025-08-21,4,Eb7f1a1d0f092274a19e0db54c6af542355d01c509a1e47e88588a5c5b8133261,2025-09-11,2025-08-21,MSFT
0.83,USD,2025-03-11,CD,2025-05-15,4,Ec79a97079e6a62876fdb04c4c79b9bb34931fe1b368849751b456de1dae967cb,2025-06-12,2025-05-15,MSFT
0.83,USD,2024-12-03,CD,2025-02-20,4,Ecef5e6c1102feab369ba58fd3711d50321893d7fd7aabbc10112c621327476f9,2025-03-13,2025-02-20,MSFT
0.83,USD,2024-09-16,CD,2024-11-21,4,Ef6b22a952d02416181303e714b00cb2a525188b4c145e99c594ac18fd66c651c,2024-12-12,2024-11-21,MSFT
0.75,USD,2024-06-12,CD,2024-08-15,4,E86c03763df7f6fd3ff98aaa5f589bec9656ec368f02c66f9d1fe23b7f852b495,2024-09-12,2024-08-15,MSFT
0.75,USD,2024-03-12,CD,2024-05-15,4,E4d5ec44e3af6d9c003c795a6a865945539467c8337621b958aabee1727b94d22,2024-06-13,2024-05-16,MSFT
0.75,USD,2023-11-28,CD,2024-02-14,4,Efc39ba5de8c72013c7715c6c6f1b9b96ee04b5167397d227b9d7b25cef52f3c3,2024-03-14,2024-02-15,MSFT
0.75,USD,2023-09-19,CD,2023-11-15,4,E5f2084116a8656dbf17afede4f20f089c59a72394ea0aaebabf5852bc127cef5,2023-12-14,2023-11-16,MSFT
0.68,USD,2023-06-13,CD,2023-08-16,4,E0d18b51ab7eaa7399bf199f9e9288f0d5bdad38aaf10a146f378682a993c7cd1,2023-09-14,2023-08-17,MSFT
0.68,USD,2023-03-14,CD,2023-05-17,4,E5ab30221f595c9fdb5aa5ccbdc6d474738404955a86ed4f0960a04feb5da9222,2023-06-08,2023-05-18,MSFT
0.68,USD,2022-11-29,CD,2023-02-15,4,E7e3329994f4ae9ba9c1062b3924ad38ef3390559c1bb2871268f0531397eb180,2023-03-09,2023-02-16,MSFT
0.68,USD,2022-09-20,CD,2022-11-16,4,E1e9f39365baa699a74a56fd1084be8714082e90d5fe4891dd5fe28fc965c038c,2022-12-08,2022-11-17,MSFT
0.62,USD,2022-06-14,CD,2022-08-17,4,Ec61c7a412fdffd60f646202361b869ea302be23957a615b790316895416fc602,2022-09-08,2022-08-18,MSFT
0.62,USD,2022-03-14,CD,2022-05-18,4,Efbdc6ed0934de4656330289f9f9e44dec391bcb8cf8b71c596539456b7b8ac2d,2022-06-09,2022-05-19,MSFT
0.62,USD,2021-12-07,CD,2022-02-16,4,E9d82c40df315e71235f45b50a870347e05104d382899961bf532606bf2f87f59,2022-03-10,2022-02-17,MSFT
0.62,USD,2021-09-14,CD,2021-11-17,4,E7068b9714a4aa852526141ebafe615f2f39b3f040b8e87ae7ee5cdc781e8257b,2021-12-09,2021-11-18,MSFT
0.56,USD,2021-06-16,CD,2021-08-18,4,E094e38e57fdf26bc5a12edb3f1bcefea1ddff7edda3df45d33f078c69583e79d,2021-09-09,2021-08-19,MSFT
0.56,USD,2021-03-16,CD,2021-05-19,4,E60403372829101540224a5bfb68cf07b341fd0db6797a015f44dad75c09660fb,2021-06-10,2021-05-20,MSFT
0.56,USD,2020-12-02,CD,2021-02-17,4,E6293edf01cf837e057692aa0b430746612a57e13f6472572c7ee1593f4cd4897,2021-03-11,2021-02-18,MSFT
0.56,USD,2020-09-15,CD,2020-11-18,4,Ebfb3c62abe333c31e8e20f68a5897c76b754743fb7050a2df0216ab95be9af9f,2020-12-10,2020-11-19,MSFT
0.51,USD,2020-06-17,CD,2020-08-19,4,E9f61ba5f4d836ecbdda15c880f3320a57ea17e6a1a4281e6a145a74f01ca1b01,2020-09-10,2020-08-20,MSFT
0.51,USD,2020-03-09,CD,2020-05-20,4,E9595bfa3e9ce18324abd6a146c03d8b53e5ff2b5a2edf5bcb6b871a0bea34371,2020-06-11,2020-05-21,MSFT
0.51,USD,2019-12-04,CD,2020-02-19,4,E8a603cefb02da88f67b67239c772bcb12c18d1881e129f73fb5ce2cb1a40ef69,2020-03-12,2020-02-20,MSFT
0.51,USD,2019-09-18,CD,2019-11-20,4,Ef41c12400ec8d87a7119efec6d86235144380d9de41ea779cc4f5855d36a33ee,2019-12-12,2019-11-21,MSFT
0.46,USD,2019-06-12,CD,2019-08-14,4,E15d4ca1162bf07b739d165b09ac3be395cc6812596c03ab694a18087f4a69b3f,2019-09-12,2019-08-15,MSFT
0.46,USD,2019-03-11,CD,2019-05-15,4,Ee1b9de2f26ff7260caaca7b6784b6615b63fa47cc73090313c175948e19e0abd,2019-06-13,2019-05-16,MSFT
0.46,USD,2018-11-28,CD,2019-02-20,4,E46f87041d1a76d8a3beec25bc78366c51823808c53480580c76bdb29410f5be6,2019-03-14,2019-02-21,MSFT
0.46,USD,2018-09-18,CD,2018-11-14,4,E1380733ee48e683bb508c52d9f7907712f9f40f01df0496dec96b0b07394c9cb,2018-12-13,2018-11-15,MSFT
0.42,USD,2018-06-13,CD,2018-08-15,4,E7ed0dbdf53f4323fa9b870ec9025b681d6c8241b1198a2c7c7610e6b9927232e,2018-09-13,2018-08-16,MSFT
0.42,USD,2018-03-12,CD,2018-05-16,4,Ee24ace2c55b9d662fc8c21bf1aa3bc6cb7be8326cdca61ef97fae19cc15e6507,2018-06-14,2018-05-17,MSFT
0.42,USD,2017-11-29,CD,2018-02-14,4,E981d08ee01140fe56553dbce6c8dbcfacc889637990ab3efa996e178709d53f7,2018-03-08,2018-02-15,MSFT
0.42,USD,2017-09-19,CD,2017-11-15,4,Ed4bcf8220e7804817ab94075f4037b3cbf7924cc0052ea85f7d928c78dcdbbf8,2017-12-14,2017-11-16,MSFT
0.39,USD,2017-06-13,CD,2017-08-15,4,Ee62b3128b6534b647547737c464be6d6818eb1948bdb90fc4ff362aabbf8a88f,2017-09-14,2017-08-17,MSFT
0.39,USD,2017-03-14,CD,2017-05-16,4,E51dbca0b7cd9bc78a1ecc622fbd28149c78cc9aa5ffd18a41827fc504f0d7bbf,2017-06-08,2017-05-18,MSFT
0.39,USD,2016-11-30,CD,2017-02-14,4,E6cf0c1542580b6c6e7d335d92e0af7000056920c38a3800217e8a3cf94abe8af,2017-03-09,2017-02-16,MSFT
0.39,USD,2016-09-20,CD,2016-11-15,4,E339ea69bffaa2b829fe00421a6298fbb29e21ada6d068881c8af5949f55efb6f,2016-12-08,2016-11-17,MSFT
0.36,USD,2016-06-14,CD,2016-08-16,4,E82c4c8dcd0cc1ed6663a300fe07ad19fa206b49592ee025b80229db06cc94863,2016-09-08,2016-08-18,MSFT
0.36,USD,2016-03-15,CD,2016-05-17,4,E269a5bf31fb7100f108eb19cc607ed61af76d8437160ad437ba86d495c065c22,2016-06-09,2016-05-19,MSFT
0.36,USD,2015-12-02,CD,2016-02-16,4,E570147f2286ac6e12f14adacb40b47c17fdf6fded5e0587025319ad141b04c0b,2016-03-10,2016-02-18,MSFT
0.36,USD,2015-09-15,CD,2015-11-17,4,E0f640e0eb2db2cefb0c76377c1e195f432435d94f91313c47e591ab86ce49428,2015-12-10,2015-11-19,MSFT
0.31,USD,2015-06-09,CD,2015-08-18,4,E121912ba14fdf8ba8dea7eeda8f6ed17896c4caf6e5f6d5a8829346475acbf9e,2015-09-10,2015-08-20,MSFT
0.31,USD,2015-03-10,CD,2015-05-19,4,Ea6371576114bba2db62630c8a3081a2872ee2c585c4519091d683bea30510300,2015-06-11,2015-05-21,MSFT
0.31,USD,2014-12-03,CD,2015-02-17,4,E57a93baea3361f69c0609361c2a38373aec6384526e56d0a8b1d1e853aa97a04,2015-03-12,2015-02-19,MSFT
0.31,USD,2014-09-16,CD,2014-11-18,4,E5ae995b1b8b002ae6b6fa27c62005626821ffdfce0bfb3a2afdd196ccdede4ee,2014-12-11,2014-11-20,MSFT
0.28,USD,2014-06-10,CD,2014-08-19,4,E90d23d38f5acc430beb7faba2c2884e79457274119d51fb6b5f35b60310f2cad,2014-09-11,2014-08-21,MSFT
0.28,USD,2014-03-11,CD,2014-05-13,4,E7e354a39a8e82203dec9e2183b8f57382922e4a9157b1e58c225eb7543742daa,2014-06-12,2014-05-15,MSFT
0.28,USD,2013-11-19,CD,2014-02-18,4,E06b4b5e64a88f2d5d8ecc9d5ec5462e695c420c3b8a2e1d986dffda661dbe633,2014-03-13,2014-02-20,MSFT
0.28,USD,2013-09-16,CD,2013-11-19,4,E3f647c3a44515167a0bbf6c86e78b32d07f1ff10a144c9b2ad188e91de1450af,2013-12-12,2013-11-21,MSFT
0.23,USD,2013-06-12,CD,2013-08-13,4,E9be0575498f8ba5d5b75c6e294abe8c1619ec94075782b05f5e666336381ef2e,2013-09-12,2013-08-15,MSFT
0.23,USD,2013-03-11,CD,2013-05-14,4,Ef745968a0ffad9f67a3a65b92d8ea760bc16c38cd3a3ae2fb8ee85c8547984b2,2013-06-13,2013-05-16,MSFT
0.23,USD,2012-11-28,CD,2013-02-19,4,E4cabb7f1f99e57c9e7b335e4c09e5ebba02d9a4ac7fe04626fcf54c92b32c02e,2013-03-14,2013-02-21,MSFT
0.23,USD,,CD,2012-11-13,4,E2049f8d1a27003b858e1fab2a7c15a062c76d3304bcf3154f5d4b3229093a976,2012-12-13,2012-11-15,MSFT
0.2,USD,,CD,2012-08-14,4,E49f4e14ef9d3ea595fec10d27d4828667042b603dbcc47e6262a51a514103976,2012-09-13,2012-08-16,MSFT
0.2,USD,,CD,2012-05-15,4,E57dd772613b30ac44fe585bb987f183d9a02669ed4ae8ce34cdbe1ba42292eb8,2012-06-14,2012-05-17,MSFT
0.2,USD,,CD,2012-02-14,4,Ef511ed767bc8d6aa8bc6c9cd61a9e84b0e4a243f4525981d1344d2b8600bbfed,2012-03-08,2012-02-16,MSFT
0.2,USD,,CD,2011-11-15,4,E199bca9c852898f3b7cfd9f7a98cd0b90b00d23da34d5e652596d0b6238415e3,2011-12-08,2011-11-17,MSFT
0.16,USD,,CD,2011-08-16,4,E995a9a08511eb780ad4fd38c88229ef2ca09ad57ddcb7c0a807d7ac38b0f5a4a,2011-09-08,2011-08-18,MSFT
0.16,USD,,CD,2011-05-17,4,Ed8b7ddd3725cd833cb83b03ce5185d4b3b788dcac850af5bb3d7f2add1630b94,2011-06-09,2011-05-19,MSFT
0.16,USD,,CD,2011-02-15,4,Ee01804362eec8fa6ff3fb564444c919089feff5bad9b766ffbd0007c4ca7632e,2011-03-10,2011-02-17,MSFT
0.16,USD,,CD,2010-11-16,4,Eecac41d85206612be5011a9a5b6cd8ba0cb65802073b26e63dc7afcad4d2b1cf,2010-12-09,2010-11-18,MSFT
0.13,USD,,CD,2010-08-17,4,E8ee29f8a8024ddaf81c5f8bcf288f18d881e113a3b9cd3d74953e082475d7182,2010-09-09,2010-08-19,MSFT
0.13,USD,,CD,2010-05-18,4,Ea4391b55753bd7946efa5b84994fb9d869eee3dc23d642179628cfb542115bc6,2010-06-10,2010-05-20,MSFT
0.13,USD,,CD,2010-02-16,4,Ed42f59aa214192301fc3cc3ff7139287190e3d13bfc760494c63640432dcb612,2010-03-11,2010-02-18,MSFT
0.13,USD,,CD,2009-11-17,4,Ebd7433384087c454b1449bdc510f4be94c6c023f349b1dcf3b7d946d982cd034,2009-12-10,2009-11-19,MSFT
0.13,USD,,CD,2009-08-18,4,Edb2bd9f806cf1eb32e8c13991b1a5f46ca692ebded7fad74f0bf370c5e9034e0,2009-09-10,2009-08-20,MSFT
0.13,USD,,CD,2009-05-19,4,Ef1e4c120969cce9cb21d3c65454f09e05429f4fed7cb13622625c81d9342baf0,2009-06-18,2009-05-21,MSFT
0.13,USD,,CD,2009-02-17,4,Edaf166d648ae30de4e64012ac0cb0027c78852989fca208242c9b6b917f99291,2009-03-12,2009-02-19,MSFT
0.13,USD,,CD,2008-11-18,4,E5fe107a815fe78f3bcd725157d8323d67f23388d3cd3e362dfa9cb1871a82651,2008-12-11,2008-11-20,MSFT
0.11,USD,,CD,2008-08-19,4,Eab20895cef7a5b9eec1b7150ce6bada94239628f06549c8778b7722dcee4028c,2008-09-11,2008-08-21,MSFT
0.11,USD,,CD,2008-05-13,4,Ee0c640455961148edfa177e7c8f6326617479d636034a3487c1377228e4eb3ca,2008-06-12,2008-05-15,MSFT
0.11,USD,,CD,2008-02-19,4,Ee7cd9711b223f03897e8d43b48f740d8cbc8b8f5689f8578ca407def400a6daa,2008-03-13,2008-02-21,MSFT
0.11,USD,,CD,2007-11-13,4,E6a951fe54442a09e92588a3b5c41069664d0c738ed0bbf3ba967a3300b6aa52e,2007-12-13,2007-11-15,MSFT
0.1,USD,,CD,2007-08-14,4,E74425d0efcc230f6a4a89a43e899a5e1f990e747459ddb5817152bfb27d261d8,2007-09-13,2007-08-16,MSFT
0.1,USD,,CD,2007-05-15,4,E7d6c788df469d565e76305ea41d3876eb3a874e221ba59a4f8c3393adfe09d58,2007-06-14,2007-05-17,MSFT
0.1,USD,,CD,2007-02-13,4,E9dc058dfc10ddcb597bb502fafb2b96a5a2c70b530f529dd9b076e3ea66cb829,2007-03-08,2007-02-15,MSFT
