cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.01,USD,2025-08-27,CD,2025-09-11,4,E11888d62eaf4270e9151b9bd3dd47df8ed765f52012355dcbcaed00cc7295258,2025-10-02,2025-09-11,NVDA
0.01,USD,2025-05-28,CD,2025-06-11,4,Eb8ca1f81b8095c73fbb33936ddacbd8c3b428e77967860a5bed3739342306830,2025-07-03,2025-06-11,NVDA
0.01,USD,2025-02-26,CD,2025-03-12,4,Ed6811f8b0cffe52d382c2dd8b8b48a572eb406c4cf8ad00067555e4ab41aa794,2025-04-02,2025-03-12,NVDA
0.01,USD,2024-11-20,CD,2024-12-05,4,E8e5976e646ac83b166640ba4075e5c11c7b4c6e59ea6c554d4d0a919c8f697a9,2024-12-27,2024-12-05,NVDA
0.01,USD,2024-08-28,CD,2024-09-12,4,E5c9099ae76152b9bc71b4080eefd6ff989a02eb9fe8767038d56f0d3ae998e40,2024-10-03,2024-09-12,NVDA
0.01,USD,2024-05-22,CD,2024-06-11,4,E0c7e22672582573cf4c7e15d316427ac4de3e752730baa651e16184f832746e9,2024-06-28,2024-06-11,NVDA
0.04,USD,2024-02-21,CD,2024-03-05,4,E3a0a45efc26f963c74b7bff61f60a8b5099be8d8d9aa5e787a4723f1feedffb2,2024-03-27,2024-03-06,NVDA
0.04,USD,2023-11-21,CD,2023-12-05,4,E35f0ff6fc910fd5a1a2d4266a2be8b1fc4d8ef0e75b0d15b97298dc7dfcbb8a3,2023-12-28,2023-12-06,NVDA
0.04,USD,2023-08-23,CD,2023-09-06,4,E9d1274d083eb00724a8f513b843d3af200baf18f4f888e002c3e1f28881b2b60,2023-09-28,2023-09-07,NVDA
0.04,USD,2023-05-24,CD,2023-06-07,4,E9712dbfd03c8439c3d6b6336739b60836d7fba78d3f1962b271f4294f8a26145,2023-06-30,2023-06-08,NVDA
0.04,USD,2023-02-22,CD,2023-03-07,4,Ee04b0320051622a68d0eb929592528842bac2c37e60498d6490c4fdc67900ae0,2023-03-29,2023-03-08,NVDA
0.04,USD,2022-11-16,CD,2022-11-30,4,Ee0c141be5cd2f336c44f7a7989be80b75a142632538579e1a0126b5818c57d64,2022-12-22,2022-12-01,NVDA
0.04,USD,2022-08-24,CD,2022-09-07,4,Ea31621bc6fa6b570fafbf8efe3f05c7f8edbec90e7bb1cc5062872de42273ef7,2022-09-29,2022-09-08,NVDA
0.04,USD,2022-05-25,CD,2022-06-08,4,E1aa7c1188561cf7f1142b4bf007bae4d919d69c88a298e2298e6537bf5fed8c7,2022-07-01,2022-06-09,NVDA
0.04,USD,2022-02-16,CD,2022-03-02,4,E73dd88c0ce25fde640ad4843871e9e3addab4dedcf9db5f197200338db60dfa4,2022-03-24,2022-03-03,NVDA
0.04,USD,2021-11-17,CD,2021-12-01,4,E2548669bd2615794a011b1d829a1f5e02317a61c0ab9a7cf4b16977dd5ca23a4,2021-12-23,2021-12-02,NVDA
0.04,USD,2021-08-18,CD,2021-08-31,4,E044f5b26dc652094a6d94616567c820802832799247c506ac689a7ec9bdf2e7d,2021-09-23,2021-09-01,NVDA
0.16,USD,2021-05-26,CD,2021-06-09,4,E871569dc6699f8b2621fe102b136a34fc573e154f8455c901cad27b490ce34a1,2021-07-01,2021-06-10,NVDA
0.16,USD,2021-02-24,CD,2021-03-09,4,Ed64ced55b4112a79634223b5bcd0caafedf25a09962afd1306d13d958457c114,2021-03-31,2021-03-10,NVDA
0.16,USD,2020-11-18,CD,2020-12-03,4,E8813015f8e9a5d6d9c584b87b977afc915eff85b72c452433633e2da0d9bc8d3,2020-12-29,2020-12-04,NVDA
0.16,USD,2020-08-19,CD,2020-09-01,4,E135725c7b48c7e3ebe1872d0cc2a8a0d7342278ae9e08688614e44bae735a342,2020-09-24,2020-09-02,NVDA
0.16,USD,2020-05-22,CD,2020-06-04,4,Eb9216549aaa5873da3699ccf6c6e0b60c41c2c3d9f7787ffba3eb14549a10251,2020-06-26,2020-06-05,NVDA
0.16,USD,2020-02-13,CD,2020-02-27,4,Ed8ae364618a18ad4e3d04cb7d52212cde983a1344ceae67b3785b747c52a9330,2020-03-20,2020-02-28,NVDA
0.16,USD,2019-11-14,CD,2019-11-27,4,E93a7e4f46cc9701eda9cde51702d21181a85720b7571c7a7517a1bc8316650af,2019-12-20,2019-11-29,NVDA
0.16,USD,2019-08-15,CD,2019-08-28,4,Ec2f52d4991d25e9dc45d6ced6afe1f0f0970be3906870c4845053a63dad9c38f,2019-09-20,2019-08-29,NVDA
0.16,USD,2019-05-16,CD,2019-05-30,4,E72641da02b4d66b24b79b834f2c1602a86f300e7036ed45e97b22641b4b528e6,2019-06-21,2019-05-31,NVDA
0.16,USD,2019-02-13,CD,2019-02-28,4,E85e5558f6f970ce3cde816e282eb42180dc0e16cc7e4224ce3f202251d351b2f,2019-03-22,2019-03-01,NVDA
0.16,USD,2018-11-15,CD,2018-11-29,4,Ef81f1fdf58232428ed5225a75df4b07806253ccbc9930d9d9057df0e901b6ac2,2018-12-21,2018-11-30,NVDA
0.15,USD,2018-08-16,CD,2018-08-29,4,E69767da040a211a098f9e9c4bdca9ffa1500950676a823f17854165363934ff0,2018-09-21,2018-08-30,NVDA
0.15,USD,2018-05-10,CD,2018-05-23,4,Ee25045ee5bebeee4b94064e977678f19eb2c71fbd3242012888486397bc0cf52,2018-06-15,2018-05-24,NVDA
0.15,USD,2018-02-08,CD,2018-02-22,4,Ee94d07d93ded68212dd1dcb64e6fcfdcce37250b3cf3eedbf1d3ec4ca71b4f73,2018-03-16,2018-02-23,NVDA
0.15,USD,2017-11-09,CD,2017-11-22,4,Eaa8ef79bdb7ceb047ec5b58ea8a8b27446ee843ce5d9b66d60e01a52ec1e19ac,2017-12-15,2017-11-24,NVDA
0.14,USD,2017-08-10,CD,2017-08-22,4,E81b2665c9e58d66d9f63809e2a81c30ce823afa0234facabbc09b21fbb6f7490,2017-09-18,2017-08-24,NVDA
0.14,USD,2017-05-09,CD,2017-05-19,4,E6279cb60f57abd78a5b69235feada3e78692c8d07b895605d6ebb5c51144505a,2017-06-14,2017-05-23,NVDA
0.14,USD,2017-02-09,CD,2017-02-22,4,E23bd8639fd79534767877ef62c5cb0beaafb13316ba6267d2879a66046cec344,2017-03-17,2017-02-24,NVDA
0.14,USD,2016-11-10,CD,2016-11-23,4,E5758142a8b719f4871559d7ab59390c58850093d16f3ad8855b4a0cf6ca5822b,2016-12-19,2016-11-28,NVDA
0.115,USD,2016-08-11,CD,2016-08-23,4,Ede777173651adfbbe6211cb5f9f97b24ec667a7a0bcf489130fd2db8bc804bad,2016-09-16,2016-08-25,NVDA
0.115,USD,2016-05-12,CD,2016-05-24,4,E0272bc9608128c44302b0ec9afbb34cc7f4f57ea1a5f8a08eff6c2e8f47a30b2,2016-06-20,2016-05-26,NVDA
0.115,USD,2016-02-17,CD,2016-02-29,4,Eb0c07287a4e399204c4f4c3832d42d0d8a3997ef48509c959dc42bab330585df,2016-03-23,2016-03-02,NVDA
0.115,USD,2015-11-05,CD,2015-11-18,4,Eccd6d51126ea0edfe3119b7ed0a061e8b952a23e11847b87f13abc5756f2f5d5,2015-12-14,2015-11-20,NVDA
0.0975,USD,2015-08-06,CD,2015-08-18,4,Ef07040e0eec10bec22db2b52b2c27eab4a539c90aeb04ae752e7bf23b9508aa3,2015-09-11,2015-08-20,NVDA
