cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.43,USD,2025-10-09,CD,2025-11-07,4,Ebb287a6fa390e3e8a824842c6a9689082632e2225f9f43e990d2564a1d7ee11b,2025-12-01,2025-11-07,PFE
0.43,USD,2025-06-25,CD,2025-07-25,4,E80d157ecb6b7233fb643b19515338a949c92b61777b5fa795219089f20d61028,2025-09-02,2025-07-25,PFE
0.43,USD,2025-04-23,CD,2025-05-09,4,Eec54ee7d3b5b2554274388f1ac21aff4f3c65022bccd0dbae6366e1e1421743d,2025-06-13,2025-05-09,PFE
0.43,USD,2024-12-12,CD,2025-01-24,4,E8ad0f35e18b94301aa4dcb3aba1149f298fd24b3b99dea49bb1e2f564807b41d,2025-03-07,2025-01-24,PFE
0.42,USD,2024-10-09,CD,2024-11-08,4,E77c54d918a86276a42565f8590b873364259291a2ec14d1f2f27ce9cfddcbfc7,2024-12-02,2024-11-08,PFE
0.42,USD,2024-06-26,CD,2024-07-26,4,E90eb60c93d8331886d47b5832ee71b06ecb58aebd113bda46476e2dab2ed6a42,2024-09-03,2024-07-26,PFE
0.42,USD,2024-04-24,CD,2024-05-09,4,E1e47a94eaee339db8d0ee4b19a8ca10cd85edd3bb4f5281a2523b56b3a34bf49,2024-06-14,2024-05-10,PFE
0.42,USD,2023-12-14,CD,2024-01-25,4,E13cde44e6d2e6a035a6667f181fb6b06c593f8ffd8551e40991fa0b69dae081f,2024-03-01,2024-01-26,PFE
0.41,USD,2023-10-04,CD,2023-11-09,4,E3c4e2df27b23e45893a5eef90819d707e7fc542bda7e358e6db467abe9891f4d,2023-12-04,2023-11-10,PFE
0.41,USD,2023-06-22,CD,2023-07-27,4,Efbda33ce30b364ea804bf79ed3e0be326c15b50912d77e02b28ce68a6f97308c,2023-09-05,2023-07-28,PFE
0.41,USD,2023-04-26,CD,2023-05-11,4,Ec842d8db4b6d53bf87bce8249a0aa3ce8ee6130241e10c78946f74cd7fa5a57f,2023-06-09,2023-05-12,PFE
0.41,USD,2022-12-09,CD,2023-01-26,4,Ef5c7c8cf00597a49fac5a4b6ddb141b6f1c1a9e326dd676866047f4ff79982f6,2023-03-03,2023-01-27,PFE
0.4,USD,2022-09-22,CD,2022-11-03,4,E9c289ffedb31a820544ad454c2c31f0f6e52cec4687dc0ed71bdb953a37fac0d,2022-12-05,2022-11-04,PFE
0.4,USD,2022-06-23,CD,2022-07-28,4,E83065a2f1a4cce5c7ac3bbd089e1fbefb2e2fda4407c8ed9dd526df84b33012a,2022-09-06,2022-07-29,PFE
0.4,USD,2022-04-28,CD,2022-05-12,4,E3f7b855517c69221dd5074dab8b6fd96d8e746aa7d0a7f4464871e7851c5a8ba,2022-06-10,2022-05-13,PFE
0.4,USD,2021-12-10,CD,2022-01-27,4,E4ebbeb84aceac4d3b56c1afae8c68a3dd99bdf45bc0b24cd8f3e5bae9b2ec229,2022-03-04,2022-01-28,PFE
0.39,USD,2021-09-23,CD,2021-11-04,4,E6c86b19336a731f7af1ebe086bc52a53e7d2dd8dcee343e6554fc7d658374a68,2021-12-06,2021-11-05,PFE
0.39,USD,2021-06-24,CD,2021-07-29,4,Ec3d9845afbb2ca914bbed7603c3c868f7b82aadc44619444b112e9e1e6c289ea,2021-09-07,2021-07-30,PFE
0.39,USD,2021-04-22,CD,2021-05-06,4,E0f0448f7d5531439f92b0f143910e04b2b06bb5a552e51fad84ba38aefc620f5,2021-06-04,2021-05-07,PFE
0.39,USD,2020-12-11,CD,2021-01-28,4,E26bbbce4908bf08afca6c16658f5c412429ee17070408f0ab297fae3aa575a15,2021-03-05,2021-01-29,PFE
0.38,USD,2020-09-24,CD,2020-11-05,4,E064861061e0ea4535c3c0eb43330d39d66f7fd07d505be1c14c8c9e4e6259729,2020-12-01,2020-11-06,PFE
0.38,USD,2020-06-25,CD,2020-07-30,4,E5fb2f614df1a7ec0a98e5ca8399f19818fd7a85d3a73d54115fc68550a7262f0,2020-09-01,2020-07-31,PFE
0.38,USD,2020-04-23,CD,2020-05-07,4,Ebefc86d588a453f10cf7057f8dc14281fba28c38f0d368caeb99953f911a7e06,2020-06-05,2020-05-08,PFE
0.38,USD,2019-12-16,CD,2020-01-30,4,Ebd498170d110c61f1e12e4d759ea249b5f4e7afcff64bfcd056e05a152495ab8,2020-03-06,2020-01-31,PFE
0.36,USD,2019-09-24,CD,2019-11-07,4,Eb03455492b3b6e539c816b1bc08bbe1fcae7d8c41d52bb98741272d2bd764dea,2019-12-02,2019-11-08,PFE
0.36,USD,2019-06-27,CD,2019-08-01,4,Ec4e3499fc3753612a5a2a61dee9f41fe772ef935c33e5601e097c6b2b6e9f204,2019-09-03,2019-08-02,PFE
0.36,USD,2019-04-25,CD,2019-05-09,4,E87d32986c42aa6cf5cd46b0ce4fbbad22d2e8dbc9b8348d1efe1db589e71202f,2019-06-07,2019-05-10,PFE
0.36,USD,2018-12-14,CD,2019-01-31,4,Eea8956cfa587aa5445c8c7a084fb53c943a005343be6c0f23777314115a0596a,2019-03-01,2019-02-01,PFE
0.34,USD,2018-09-27,CD,2018-11-08,4,E60739969b522bd9baf2a4a9fd5ab11a2a823ef0e3ddec3507bcc3afdbb5109d9,2018-12-03,2018-11-09,PFE
0.34,USD,2018-06-28,CD,2018-08-02,4,E12f6b5fb38174af4e6069b7d027ccbff139dcdd25763211bd7de4c03149beadb,2018-09-04,2018-08-03,PFE
0.34,USD,2018-04-26,CD,2018-05-10,4,E65bc5a0550741c64f9911c699900d8dc2f649e618d6c5cfeba7d1a6f37c13a3d,2018-06-01,2018-05-11,PFE
0.34,USD,2017-12-18,CD,2018-02-01,4,Edf5a94c4dbc4ee37c9ac1b22b76b8b74e517b7f999e1984c216303ad9dc7cd06,2018-03-01,2018-02-02,PFE
0.32,USD,2017-09-27,CD,2017-11-09,4,E2f95ad0132406113ae4c96676c766916cf9c621c45747cbd7ef443a3ea54f564,2017-12-01,2017-11-10,PFE
