cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
1.0568,USD,2025-10-14,CD,2025-10-24,4,E4a9e702b33a59acad146ca0b8e91250e4745637f7cdd2f036dbf40bd1887265e,2025-11-17,2025-10-24,PG
1.0568,USD,2025-07-08,CD,2025-07-18,4,Eeef75334fcfcfce5c7cbcc0f06a389235844f1f90f7163793ed4b91c0ca4a55d,2025-08-15,2025-07-18,PG
1.0568,USD,2025-04-08,CD,2025-04-21,4,E5cf29aa0f3cb04ee77925b04119d99505520f99c4961654b13c52ab0525354bd,2025-05-15,2025-04-21,PG
1.0065,USD,2025-01-14,CD,2025-01-24,4,Ea59dac725e622fdceb51604ba9cd8fa8b1c923c101985d2b452922a7da4e77c9,2025-02-18,2025-01-24,PG
1.0065,USD,2024-10-08,CD,2024-10-18,4,Ee375b0ab7aa2d1aa42d9b0c54b1d6242b26c9768e54df27fd7f074c701e1db56,2024-11-15,2024-10-18,PG
1.0065,USD,2024-07-09,CD,2024-07-19,4,Ecc9585754210ba6dd5b0eb6612e2386b05c8cc958f4c7c60e03e087c4aa5fb1c,2024-08-15,2024-07-19,PG
1.0065,USD,2024-04-09,CD,2024-04-18,4,E1f4a27aa458956ff8af9961c7ea4e83fa8ac80756cae024a5868164f691dda8d,2024-05-15,2024-04-19,PG
0.9407,USD,2024-01-09,CD,2024-01-18,4,E3b301253ead1ae363295b23200f69f4856f8310e77358db13555565bb5a59765,2024-02-15,2024-01-19,PG
0.9407,USD,2023-10-10,CD,2023-10-19,4,E17a7abf3fc6e236e603e25ce22a1001646f44e2d9d315013858d5e60e736d72b,2023-11-15,2023-10-20,PG
0.9407,USD,2023-07-11,CD,2023-07-20,4,E0e8de9f6fbf9a5d8999366d95e5efef6d46e9f16016b51a0679e62e874c2a1ac,2023-08-15,2023-07-21,PG
0.9407,USD,2023-04-11,CD,2023-04-20,4,E30f9d7031cd55d3c095dfec3ad88eb8a070b1f83915a2ef0405a9d5a104a3f11,2023-05-15,2023-04-21,PG
0.9133,USD,2023-01-10,CD,2023-01-19,4,E4cd21dce8956e817dcaf23dbc70a8d45e5a5894171cab0f6f78b6d5ce614edf1,2023-02-15,2023-01-20,PG
