cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
2.21,USD,2025-08-13,CD,2025-09-15,4,Efad27e2c0d7a99832548b1e417aed6ce93900d291c45f6c48b37be74d4b3c60d,2025-09-23,2025-09-15,UNH
2.21,USD,,CD,2025-06-16,4,E169e4c776baa75cb036dccceb8300b341feb08fedef5c8842ba8c39e24c41951,2025-06-24,2025-06-16,UNH
2.1,USD,2025-02-24,CD,2025-03-10,4,Ed61fb993e14414ae025f6d2ff27ce1093a33d46165891960deca448532bd97b1,2025-03-18,2025-03-10,UNH
2.1,USD,2024-11-06,CD,2024-12-09,4,Ef3c3e67aafc1a499ed792da8045c4e9850738e5a6e74a1000b11d8759f264bf8,2024-12-17,2024-12-09,UNH
2.1,USD,2024-08-07,CD,2024-09-16,4,E38f4e6ec2760603ed617325dab3d0109742c7769a1047faf55019ffb16f0220d,2024-09-24,2024-09-16,UNH
2.1,USD,2024-06-05,CD,2024-06-17,4,E606f68bb729e6c5f487ed6f6d181529df8e970c4dd176667c5d522c1384325b7,2024-06-25,2024-06-17,UNH
1.88,USD,2024-02-23,CD,2024-03-08,4,E2258298103e4891bae53cc239b1c2f81a49d220c0f0d4a1c03acafc6f9b848e2,2024-03-19,2024-03-11,UNH
1.88,USD,2023-11-08,CD,2023-12-01,4,Ebf3cd3d21e17e73cad7ca3408c427c1c8e7844720652ead802d5f5570cc44c36,2023-12-12,2023-12-04,UNH
1.88,USD,2023-08-23,CD,2023-09-08,4,Ea8a4fd4cbcc93e5890b04ea233f74484277167e6b5ca0a8b3188b6db4dfa8cc9,2023-09-19,2023-09-11,UNH
1.88,USD,2023-06-07,CD,2023-06-15,4,E7814cd427c8a2891230265b9ca1ddd8c3a935c07d05a156f3b234af7237e7489,2023-06-27,2023-06-19,UNH
1.65,USD,2023-02-27,CD,2023-03-10,4,E70c6cea2a87f4536ff6a12c8915a2800fa1b528a29d14690858cbe909c3b4df9,2023-03-21,2023-03-13,UNH
1.65,USD,2022-11-04,CD,2022-12-02,4,E80f0d4dfa8c4921477988fc2fbf8a7fbdbd259b3a9abdaac37d21feb5e3ea73b,2022-12-13,2022-12-05,UNH
1.65,USD,2022-08-17,CD,2022-09-09,4,Ee07027d214bc0910c1f20cd578d62b65302f4c4cf68268ea8e5a7ac7a48f0bf1,2022-09-20,2022-09-12,UNH
1.65,USD,2022-06-08,CD,2022-06-16,4,Eb014844d72991fdbd4b682989b94084e3a062c2b3aca2b7acad40cb05bcd4002,2022-06-28,2022-06-20,UNH
1.45,USD,2022-02-16,CD,2022-03-11,4,E252e749e6d489c5c589539815186c3c35130297993833a3c970c0b5e3a6a53b4,2022-03-22,2022-03-14,UNH
1.45,USD,2021-11-05,CD,2021-12-03,4,E452c4066b0fd6e90854e7e8d48241e31ad4cc8e84aa59de7387e6f9aedbcbbac,2021-12-14,2021-12-06,UNH
1.45,USD,2021-08-11,CD,2021-09-10,4,Ebaf2315ebcbffb830766d635a152d48e8c52f54cc11fbce12cfb95766612bc60,2021-09-21,2021-09-13,UNH
1.45,USD,2021-06-09,CD,2021-06-18,4,E502f97fc3ccb7d0871f2d09570e29fcbbc4ab57349ad5cc7b26c30ea552c7ab4,2021-06-29,2021-06-21,UNH
1.25,USD,2021-02-24,CD,2021-03-12,4,E89535d36b7f7088239ebe094e4c8f492eecc740bb5fee7b8072b2978487a11be,2021-03-23,2021-03-15,UNH
1.25,USD,2020-11-04,CD,2020-12-04,4,E7e502e37d37353183d3774fcc69e744864b539104d54c6c056d7e02111b41915,2020-12-15,2020-12-07,UNH
1.25,USD,2020-08-05,CD,2020-09-11,4,E0348619655b128dc26a5bd522d302a8483222692b7a49fc3a793609c199add59,2020-09-22,2020-09-14,UNH
1.25,USD,2020-06-02,CD,2020-06-19,4,Eba3e62c0fd9a391a9ec6319ed1a7483152bc266fbc3987899945e2e7868a5b72,2020-06-30,2020-06-22,UNH
