cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.235,USD,2025-02-20,CD,2025-12-12,4,Eba52e48e8b933fe930ae8654d048914d4cfdd247d2cfd112d6eecdc58aad756b,2026-01-05,2025-12-12,WMT
0.235,USD,2025-02-20,CD,2025-08-15,4,E6df60f62077e7812c0aa4788979dd9bf5fb391271c2053b796f51d5e3f16f87d,2025-09-02,2025-08-15,WMT
0.235,USD,2025-02-20,CD,2025-05-09,4,E860d86996f307428657a83cc91414b827ee2eac32460e6a71881bd73b240edae,2025-05-27,2025-05-09,WMT
0.235,USD,2025-02-20,CD,2025-03-21,4,Eb24fe92c2292229b4a4d444448e838075f6fd538137cb9c70ad4d389c643eff3,2025-04-07,2025-03-21,WMT
0.2075,USD,2024-02-20,CD,2024-12-13,4,E9af72075801103e918098392cb7352618602ffb190fba0daa1c07002e46f9315,2025-01-06,2024-12-13,WMT
0.2075,USD,2024-02-20,CD,2024-08-16,4,Ebba055558dd1c681a83bbd2871cb6074a4429b12a28f20126469323bdc1e4ef1,2024-09-03,2024-08-16,WMT
0.2075,USD,2024-02-20,CD,2024-05-09,4,E1eb6521e27dbd805c10e45559dd568434f0abf00201b4f76daa89bca5887ef74,2024-05-28,2024-05-10,WMT
0.2075,USD,2024-02-20,CD,2024-03-14,4,E3c5b645bea3c961f9ca282660579365e302801e56ce48aad912a3c103ddb1a36,2024-04-01,2024-03-15,WMT
0.57,USD,2023-02-21,CD,2023-12-07,4,Eb0bea517e65c62b7c18bd42e40942b7ce595ff733bec7fb6561aed55f7ab93d4,2024-01-02,2023-12-08,WMT
0.57,USD,2023-02-17,CD,2023-08-10,4,Ed13c2d8d54725e39514765662139e44955b2d2ee8f19f4d30df038bb1edcded6,2023-09-05,2023-08-11,WMT
0.57,USD,2023-02-21,CD,2023-05-04,4,E8a15e9fbf4b153229a00e032d24eb8a0c3e5754f40722942e7e0b3a502337bad,2023-05-30,2023-05-05,WMT
0.57,USD,2023-02-21,CD,2023-03-16,4,E61a665206b115c498fc7e8ec47f799325b59698b9a370a85278b004ec27c72a1,2023-04-03,2023-03-17,WMT
0.56,USD,2022-02-17,CD,2022-12-08,4,E397f97967d5c1e5b1d04a362c12aefe4fc94133b1d7e892eec2e8f151e12b721,2023-01-03,2022-12-09,WMT
0.56,USD,2022-02-17,CD,2022-08-11,4,E58eeaddbf325c8797c1e532b7f9375bff034ef215a55cabfbe3bc00529832be7,2022-09-06,2022-08-12,WMT
0.56,USD,2022-02-17,CD,2022-05-05,4,Eabf6ffa6336cd05ef34c10eff10b9764748689d5c21d2195575ce7605882aa3b,2022-05-31,2022-05-06,WMT
0.56,USD,2022-02-17,CD,2022-03-17,4,E72b3886dddd51081adf9522b0825ff40d03d054247c0487cc83f04b8c986dd19,2022-04-04,2022-03-18,WMT
0.55,USD,2021-02-18,CD,2021-12-09,4,E21dd3e77f7ccadb74d6423e83c36eec508d4f23a2321bc6fc2787c89153c4359,2022-01-03,2021-12-10,WMT
0.55,USD,2021-02-18,CD,2021-08-12,4,E6c42810119e693cb313c6209f93b6ec8ef17531072705003d3681acfb5299410,2021-09-07,2021-08-13,WMT
0.55,USD,2021-02-18,CD,2021-05-06,4,E9058f49b5d562f21f60b083b594dfae1280f3594bfd7ac737263565d4ac1748b,2021-06-01,2021-05-07,WMT
0.55,USD,2021-02-18,CD,2021-03-18,4,Eecc4f850e538be679289b29eccc62c89a27a8dba026c1c3aa22dc287f85a84ec,2021-04-05,2021-03-19,WMT
