cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.99,USD,2025-08-01,CD,2025-08-15,4,Eefdf056a63be504b0f07de03bc8dfdfc5362b667c1bc5c5f3880137bb00c5f27,2025-09-10,2025-08-15,XOM
0.99,USD,2025-05-02,CD,2025-05-15,4,Ef0ab235904c46a9b158490823ceafe9272b1c879d853221e85104d7cb767c137,2025-06-10,2025-05-15,XOM
0.99,USD,2025-01-31,CD,2025-02-12,4,E7ecd19e28fe5c4685119adb65ef8573ca32c8adec44a15b9aa9453ca6178fa21,2025-03-10,2025-02-12,XOM
0.99,USD,2024-11-01,CD,2024-11-14,4,E728d13ba9bb927748038be7a55e85ee90929032f0dcff711ec7906aa87229c81,2024-12-10,2024-11-14,XOM
0.95,USD,2024-08-02,CD,2024-08-15,4,Eb51d7e099d38b9a0d5ad86c80a2f1091eee4a4a4608b97afd4ac71e68246327a,2024-09-10,2024-08-15,XOM
0.95,USD,2024-04-26,CD,2024-05-14,4,Eda1a66272cb51b7b89a58b4ba500b774ebce2790a4ef74b68de70843234b2511,2024-06-10,2024-05-15,XOM
0.95,USD,2024-02-02,CD,2024-02-13,4,Eeb246c96245dc91da831e0af870ecdf5946581d5f2cabca26554a30683cc172d,2024-03-11,2024-02-14,XOM
0.95,USD,2023-10-27,CD,2023-11-14,4,E9053509733b614d6e62af51e68f4a13786b19c159ba268fa1c6e09d006750f57,2023-12-11,2023-11-15,XOM
0.91,USD,2023-07-28,CD,2023-08-15,4,E4d0335fb1bf93cb0428089e49461df40c4c8e154efcd9430e01cd9a57136d02a,2023-09-11,2023-08-16,XOM
0.91,USD,2023-04-28,CD,2023-05-15,4,E2507e8deb458f50b384e8fa5c19492555cb9ae7edd4c111153e6f7d1c7493d37,2023-06-09,2023-05-16,XOM
0.91,USD,2023-01-31,CD,2023-02-13,4,E9281d39e972f0b859bc58b29280e542e06d808f74584dfc6848b74facdb7a52e,2023-03-10,2023-02-14,XOM
0.91,USD,2022-10-27,CD,2022-11-14,4,Eb05d72808b6d397742183939cd74004f74e9430e68ed17d4ea135b00177ea7d5,2022-12-09,2022-11-15,XOM
0.88,USD,2022-07-27,CD,2022-08-11,4,Ee1bb7fba04e72dadedf6e88b58ab1e173b7b33e46e509da40a6079198dd522af,2022-09-09,2022-08-12,XOM
0.88,USD,2022-04-27,CD,2022-05-12,4,E6e87481767232d24e5971f55e663a0a528f5653aa4ec22ec2c999100762371f8,2022-06-10,2022-05-13,XOM
0.88,USD,2022-01-26,CD,2022-02-09,4,Ed203fee9f6564b88a4699736857fcfa88410dac58e7b6693a6a1116d9250f4e6,2022-03-10,2022-02-10,XOM
0.88,USD,2021-10-27,CD,2021-11-10,4,E1f03c2eb6641b9d2f6c6aee68f8448ac44d2f81e8ca4e69427b360bf9ab7cc9a,2021-12-10,2021-11-12,XOM
0.87,USD,2021-07-28,CD,2021-08-12,4,E20d025af83a5c4667adf047f92268d23b863417fe995d07420c52c96109ea2b4,2021-09-10,2021-08-13,XOM
0.87,USD,2021-04-28,CD,2021-05-12,4,E3a1f62694902a52d4405f7e7234305d654857f7026988362ad369b74a640f245,2021-06-10,2021-05-13,XOM
0.87,USD,2021-01-27,CD,2021-02-09,4,Ee67e454d3a65cf5125279cd37ab0cd5d77e29faf139793d8026b825975a34543,2021-03-10,2021-02-10,XOM
