day,last_quote,last_trade,min,prev_day,ticker,todays_change,todays_change_percent,updated,fair_market_value
"Agg(open=250.76, high=254.22, low=247.81, close=253.57, volume=21013060.0, vwap=251.3424, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=21012751.0, open=253.67, high=253.72, low=253.54, close=253.57, volume=17873, vwap=253.6162, otc=None, timestamp=1760727780000, transactions=558)","Agg(open=251.765, high=256.96, low=250.101, close=251.46, volume=27997159.0, vwap=253.1036, timestamp=None, transactions=None, otc=None)",GOOGL,2.1299999999999955,0.8470532092579318,1760727844158026545,
"Agg(open=351, high=358.2461, low=350.83, close=357.93, volume=6969655.0, vwap=353.9715, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=6969555.0, open=357.965, high=358.095, low=357.82, close=357.91, volume=9150, vwap=357.9999, otc=None, timestamp=1760727780000, transactions=248)","Agg(open=361.84, high=362, low=354.4, close=356.67, volume=5872116.0, vwap=357.616, timestamp=None, transactions=None, otc=None)",UNH,1.2649999999999864,0.3546695825272623,1760727852063115248,
"Agg(open=214.56, high=214.8, low=211.03, close=212.97, volume=33653339.0, vwap=213.0036, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=33653006.0, open=213.14, high=213.153, low=212.95, close=212.9695, volume=81348, vwap=213.0537, otc=None, timestamp=1760727780000, transactions=1540)","Agg(open=215.67, high=218.59, low=212.8101, close=214.47, volume=42414591.0, vwap=215.51, timestamp=None, transactions=None, otc=None)",AMZN,-1.4550000000000125,-0.6784165617568949,1760727854465142165,
"Agg(open=552.49, high=562.235, low=552.01, close=562.09, volume=1568267.0, vwap=558.3336, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=1568255.0, open=562.2, high=562.235, low=562.02, close=562.09, volume=4716, vwap=562.1565, otc=None, timestamp=1760727780000, transactions=199)","Agg(open=562.8, high=564.65, low=547.39, close=549.88, volume=3210636.0, vwap=552.3068, timestamp=None, transactions=None, otc=None)",MA,12.370000000000005,2.2495817269222385,1760727851843878987,
"Agg(open=109.74, high=111.46, low=109.44, close=110.8, volume=5508992.0, vwap=110.6352, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=5508992.0, open=110.83, high=110.84, low=110.78, close=110.8, volume=11981, vwap=110.8135, otc=None, timestamp=1760727780000, transactions=189)","Agg(open=111.79, high=112.085, low=108.51, close=109.88, volume=7531191.0, vwap=110.1255, timestamp=None, transactions=None, otc=None)",DIS,0.9399999999999977,0.8554787040407698,1760727849396376873,
"Agg(open=248.02, high=252.535, low=247.27, close=252.33, volume=30843458.0, vwap=249.7271, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=30843314.0, open=252.39, high=252.462, low=252.32, close=252.33, volume=70301, vwap=252.3876, otc=None, timestamp=1760727780000, transactions=929)","Agg(open=248.25, high=249.04, low=245.13, close=247.45, volume=39776974.0, vwap=247.354, timestamp=None, transactions=None, otc=None)",AAPL,4.9550000000000125,2.00242473226915,1760727854482169680,
"Agg(open=388.5, high=393.11, low=387.2, close=391.97, volume=1478064.0, vwap=390.776, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=1478039.0, open=392.07, high=392.07, low=391.97, close=391.97, volume=3397, vwap=392.0056, otc=None, timestamp=1760727780000, transactions=134)","Agg(open=389.66, high=389.9999, low=383.965, close=387.39, volume=2783672.0, vwap=386.6827, timestamp=None, transactions=None, otc=None)",HD,4.580000000000041,1.1822710963112215,1760727840000000000,
"Agg(open=150.57, high=152.03, low=150.43, close=151.34, volume=4462397.0, vwap=151.1494, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=4462397.0, open=151.33, high=151.35, low=151.3236, close=151.34, volume=5681, vwap=151.3417, otc=None, timestamp=1760727780000, transactions=161)","Agg(open=148.01, high=150.4, low=147.92, close=149.6, volume=8809673.0, vwap=149.4747, timestamp=None, transactions=None, otc=None)",PG,1.75,1.1697860962566844,1760727852691712037,
"Agg(open=509.04, high=515.298, low=507.31, close=514.75, volume=12877163.0, vwap=511.2085, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=12877109.0, open=514.73, high=514.86, low=514.65, close=514.75, volume=11075, vwap=514.7487, otc=None, timestamp=1760727780000, transactions=400)","Agg(open=512.58, high=516.85, low=508.13, close=511.61, volume=15559565.0, vwap=511.9437, timestamp=None, transactions=None, otc=None)",MSFT,3.25,0.6352495064599988,1760727852864108369,
"Agg(open=299.16, high=299.55, low=294.2, close=297.47, volume=7114477.0, vwap=296.9251, timestamp=None, transactions=None, otc=None)",,,"MinuteSnapshot(accumulated_volume=7114177.0, open=297.57, high=297.61, low=297.45, close=297.55, volume=9149, vwap=297.5466, otc=None, timestamp=1760727780000, transactions=252)","Agg(open=305.35, high=308.6799, low=297.07, close=298.54, volume=10549447.0, vwap=301.558, timestamp=None, transactions=None, otc=None)",JPM,-0.9388000000000147,-0.3144637234541484,1760727848444727391,
